loan_id,origination_date,sector,region,years_trading,turnover_gbp,employees,ebitda_margin,leverage,interest_coverage,loan_amount_gbp,term_months,secured,ltv,bureau_score,days_past_due,default_12m,lgd,ead_gbp,boe_base_rate,uk_unemployment_rate,uk_gdp_yoy,pd_raw,pd_calibrated,stage,ecl_horizon_m,pd_lifetime,pd_for_ecl,ecl
UKSME-102564,2022-12-22,Technology,South East,15.0,1854611.0,11,0.1423,3.85,3.71,36052.0,24,1,0.547,704,15,0,0.172,35195.0,5.25,4.3,0.6,0.16647152109556257,0.16841720654718825,Stage 2,24,0.30847005763321833,0.30847005763321833,2140.900532173344
UKSME-102565,2022-10-31,Construction,East of England,19.0,81502.0,1,0.076,4.41,3.24,75924.0,60,1,0.436,615,15,0,0.401,65912.0,5.25,4.3,0.6,0.2085093913819568,0.21094640695476646,Stage 2,60,0.6941330806826718,0.6941330806826718,20982.699644407283
UKSME-102566,2021-02-26,Real Estate,Scotland,19.2,111484.0,1,0.1711,1.55,9.23,31496.0,12,1,0.672,694,0,0,0.278,31044.0,5.25,4.3,0.6,0.07517176419392174,0.07605035656216946,Stage 1,12,0.07605035656216952,0.07605035656216946,752.4848911635319
UKSME-102567,2022-09-10,Technology,North East,4.8,3443485.0,39,0.0455,7.56,1.89,63772.0,48,1,0.917,693,0,0,0.158,52568.0,5.25,4.3,0.6,0.17945768464665596,0.1815551497500053,Stage 2,48,0.5512983344009913,0.5512983344009913,5249.757958219117
UKSME-102568,2022-03-14,Construction,East of England,19.2,229919.0,2,0.0902,1.53,9.35,41654.0,72,1,0.976,502,0,1,0.32,38326.0,5.25,4.3,0.6,0.0989557803913618,0.10011235552802565,Stage 3,60,0.40987849029393164,0.40987849029393164,5763.319027612637
UKSME-102569,2021-03-30,Transport,Scotland,9.9,1696240.0,19,0.1329,1.29,11.07,26481.0,36,0,0.0,865,0,0,0.712,20850.0,5.25,4.3,0.6,0.06571755050855807,0.06648564394039244,Stage 1,12,0.06648564394039247,0.06648564394039244,1131.5871092525172
UKSME-102570,2021-02-06,Retail,North East,11.5,235829.0,2,0.1232,4.31,3.32,326265.0,36,0,0.0,656,0,1,0.838,319431.0,5.25,4.3,0.6,0.2183363562242936,0.22088822737360994,Stage 3,36,0.5270673471650686,0.5270673471650686,161414.54301773125
UKSME-102571,2023-01-09,Real Estate,Scotland,11.7,374680.0,4,0.0473,5.5,2.6,21957.0,48,0,0.0,639,0,0,0.653,21519.0,5.25,4.3,0.6,0.20851879347442281,0.21095591893698665,Stage 2,48,0.6123809922821333,0.6123809922821333,9865.770942301286
UKSME-102572,2024-02-18,Healthcare,London,28.0,513726.0,3,0.0998,1.41,10.17,127422.0,12,1,0.591,769,0,0,0.338,96628.0,5.25,4.3,0.6,0.051147053060338794,0.051744849466463426,Stage 1,12,0.051744849466463405,0.051744849466463426,1937.5855092924455
UKSME-102573,2021-02-26,Transport,Scotland,7.5,1461198.0,8,0.0528,7.3,1.96,64044.0,48,1,0.706,860,0,0,0.405,51968.0,5.25,4.3,0.6,0.1586498640141412,0.16050413152057857,Stage 2,48,0.5033227675420544,0.5033227675420544,12145.395494098779
UKSME-102574,2022-12-15,Retail,North East,1.9,1598576.0,16,0.0547,1.7,8.4,74379.0,60,0,0.0,755,0,0,0.554,69247.0,5.25,4.3,0.6,0.11611913953855618,0.1174763165437796,Stage 1,12,0.11747631654377955,0.1174763165437796,5166.960098315178
UKSME-102575,2024-04-08,Wholesale,North West,4.7,2281162.0,15,0.0559,3.9,3.66,134454.0,24,1,0.715,815,95,0,0.519,133399.0,5.25,4.3,0.6,0.4194316040378739,0.4243338357502882,Stage 3,24,0.6686084673380237,0.6686084673380237,53072.0499779642
UKSME-102576,2023-09-14,Technology,North West,15.8,109654.0,1,0.1514,3.74,3.82,24838.0,84,1,0.319,724,0,0,0.296,20556.0,5.25,4.3,0.6,0.13475735804833125,0.13633237477989363,Stage 1,12,0.13633237477989368,0.13633237477989363,951.0500635154272
UKSME-102577,2024-06-16,Construction,Yorkshire,9.8,331915.0,3,-0.0146,3.32,-4.85,21794.0,84,0,0.0,693,0,0,0.619,19161.0,5.25,4.3,0.6,0.3916473436340045,0.3962248385332017,Stage 2,60,0.9197627170853002,0.9197627170853002,11319.94547118857
UKSME-102578,2024-05-07,Transport,London,4.7,3697121.0,42,0.055,3.71,3.85,79151.0,36,1,0.702,716,0,0,0.243,70311.0,5.25,4.3,0.6,0.1600136064882403,0.16188381314074998,Stage 2,36,0.41127471948661287,0.41127471948661287,8056.2998544195525
UKSME-102579,2024-03-18,Transport,Scotland,3.3,1801157.0,10,0.1265,5.66,2.52,104191.0,72,0,0.0,737,0,0,0.816,85152.0,5.25,4.3,0.6,0.21400532091649732,0.21650657180155825,Stage 2,60,0.704758916695224,0.704758916695224,55687.00253183466
UKSME-102580,2021-02-16,Professional Services,South West,27.4,388146.0,3,0.0639,6.01,2.38,90660.0,120,1,0.592,699,0,0,0.333,87351.0,5.25,4.3,0.6,0.14836627451861414,0.1501003495120003,Stage 2,60,0.5565565410270055,0.5565565410270055,18560.747600100996
UKSME-102581,2024-03-03,Retail,West Midlands,4.1,4598522.0,26,0.1891,2.41,5.93,148103.0,72,1,0.51,712,0,0,0.053,146812.0,5.25,4.3,0.6,0.1385351022295536,0.14015427247064718,Stage 1,12,0.14015427247064716,0.14015427247064718,1250.310346556334
UKSME-102582,2023-11-25,Hospitality,West Midlands,9.1,1059071.0,5,0.0786,1.05,13.63,117725.0,60,0,0.0,547,0,1,0.614,109077.0,5.25,4.3,0.6,0.08333312844336555,0.08430710918543875,Stage 3,60,0.3562026091141556,0.3562026091141556,27350.96862193098
UKSME-102583,2024-05-31,Professional Services,Scotland,3.2,23849955.0,178,0.1265,1.05,13.62,50597.0,24,1,0.598,740,0,0,0.318,40426.0,5.25,4.3,0.6,0.04652976594245162,0.04707359643109001,Stage 1,12,0.04707359643108999,0.04707359643109001,693.8080435555339
UKSME-102584,2021-10-11,Real Estate,East of England,8.4,523828.0,4,0.0463,11.78,1.21,255861.0,84,0,0.0,655,0,1,0.633,228199.0,5.25,4.3,0.6,0.25509813207879656,0.25807966742523986,Stage 3,60,0.7752051454830353,0.7752051454830353,123007.59159163569
UKSME-102585,2023-05-22,Retail,North East,4.4,570701.0,5,0.0872,3.17,4.51,464683.0,36,1,0.413,704,0,0,0.364,419046.0,5.25,4.3,0.6,0.1742398723789476,0.17627635274838105,Stage 2,36,0.44108649788343934,0.44108649788343934,77136.67347451558
UKSME-102586,2023-03-14,Transport,East of England,2.9,421092.0,3,0.1174,3.34,4.27,23830.0,48,0,0.0,793,0,0,0.648,18435.0,5.25,4.3,0.6,0.1635611489608616,0.16547281857191565,Stage 2,48,0.5149774320113425,0.5149774320113425,7053.1058912237
UKSME-102587,2023-12-12,Transport,London,15.1,616139.0,7,0.0942,4.05,3.53,100544.0,48,0,0.0,804,0,0,0.946,95549.0,5.25,4.3,0.6,0.16106852990881348,0.16295106629279002,Stage 2,48,0.5090882919179838,0.5090882919179838,50373.542132529314
UKSME-102588,2023-01-04,Manufacturing,East Midlands,12.3,1256331.0,13,0.0798,5.04,2.83,63375.0,48,1,0.631,761,0,0,0.353,56969.0,5.25,4.3,0.6,0.14514747584980478,0.14684393017570138,Stage 1,12,0.1468439301757014,0.14684393017570138,3385.6601375072005
UKSME-102589,2022-08-31,Retail,South East,13.0,782862.0,8,0.162,2.0,7.14,27773.0,72,1,0.494,637,0,0,0.203,24525.0,5.25,4.3,0.6,0.12135843251757927,0.12277684531892566,Stage 1,12,0.12277684531892563,0.12277684531892566,700.8024045218281
UKSME-102590,2023-08-13,Manufacturing,London,8.5,1033161.0,6,0.0238,7.2,1.99,156282.0,36,0,0.0,820,0,0,0.637,132157.0,5.25,4.3,0.6,0.18020334630753612,0.1823095265534868,Stage 2,36,0.45327766785677004,0.45327766785677004,43748.9854014601
UKSME-102591,2021-11-15,Hospitality,East of England,11.1,1427478.0,13,0.0931,3.36,4.26,169858.0,60,0,0.0,571,0,0,0.59,167128.0,5.25,4.3,0.6,0.21795114516635303,0.22049851404677492,Stage 2,60,0.7122040108825493,0.7122040108825493,79548.34212606194
UKSME-102592,2022-07-08,Professional Services,North West,7.3,1314035.0,13,0.2131,2.1,6.81,27386.0,36,0,0.0,667,0,0,0.5,20634.0,5.25,4.3,0.6,0.12731213438648384,0.12880013285049138,Stage 1,12,0.1288001328504914,0.12880013285049138,1523.5047078141329
UKSME-102593,2022-08-08,Manufacturing,East of England,15.2,473830.0,6,0.2311,1.34,10.66,135768.0,48,1,0.595,751,0,0,0.25,108033.0,5.25,4.3,0.6,0.06102314171022426,0.06173636784197756,Stage 1,12,0.06173636784197756,0.06173636784197756,1911.6640758846156
UKSME-102594,2022-04-24,Wholesale,East of England,16.5,1442772.0,8,0.0435,4.76,3.0,84670.0,48,1,0.647,675,0,1,0.175,80655.0,5.25,4.3,0.6,0.16495537544465502,0.16688334049271797,Stage 3,48,0.5182482777818997,0.5182482777818997,8386.510032113194
UKSME-102595,2024-01-04,Construction,North West,12.5,6331732.0,39,0.0416,2.0,7.13,30317.0,36,0,0.0,696,0,0,0.646,24013.0,5.25,4.3,0.6,0.12268567284897247,0.12411959816673374,Stage 1,12,0.12411959816673379,0.12411959816673374,2207.462623194542
UKSME-102596,2021-06-25,Technology,East Midlands,3.0,8694761.0,97,0.0778,5.25,2.72,77792.0,60,0,0.0,789,0,0,0.923,59124.0,5.25,4.3,0.6,0.1770122551800636,0.17908113859866104,Stage 2,60,0.6271783101761257,0.6271783101761257,37793.788865452596
UKSME-102597,2022-08-25,Healthcare,North East,13.8,928464.0,8,0.0046,132.99,0.11,47978.0,60,1,0.63,717,5,0,0.266,36724.0,5.25,4.3,0.6,0.21783108976105264,0.2203770554581916,Stage 2,60,0.7119797252966025,0.7119797252966025,7879.081715157603
UKSME-102598,2023-06-16,Professional Services,London,8.5,3890595.0,29,0.1794,1.25,11.47,257785.0,72,0,0.0,702,5,0,0.728,241170.0,5.25,4.3,0.6,0.08226695623301679,0.08322847577004452,Stage 1,12,0.08322847577004455,0.08322847577004452,16753.31147411796
UKSME-102599,2022-09-19,Wholesale,East Midlands,13.0,3905238.0,30,0.0807,2.59,5.52,566720.0,84,0,0.0,617,0,0,0.698,479976.0,5.25,4.3,0.6,0.18545709122780804,0.18762467618124656,Stage 2,60,0.646178991986414,0.646178991986414,248200.03494095628
UKSME-102600,2024-02-19,Transport,South East,10.3,1549982.0,9,0.1377,1.64,8.73,19518.0,36,0,0.0,614,0,1,0.794,18286.0,5.25,4.3,0.6,0.12059415046260301,0.12200363048994986,Stage 3,36,0.32317224402512634,0.32317224402512634,5379.567123738561
UKSME-102601,2024-01-16,Transport,North West,1.7,278813.0,3,0.16,1.29,11.06,15153.0,36,0,0.0,643,0,0,0.86,13630.0,5.25,4.3,0.6,0.0962509841472408,0.09737594617274208,Stage 1,12,0.09737594617274203,0.09737594617274208,1293.2436798468486
UKSME-102602,2022-04-12,Technology,London,7.5,237154.0,1,0.1777,1.21,11.76,337159.0,36,1,0.681,719,0,0,0.145,328553.0,5.25,4.3,0.6,0.061933265916687595,0.0626571293959946,Stage 1,12,0.06265712939599455,0.0626571293959946,3422.29933106726
UKSME-102603,2021-08-31,Healthcare,London,7.2,825463.0,4,0.1655,2.49,5.73,99599.0,36,0,0.0,575,0,0,0.689,99232.0,5.25,4.3,0.6,0.1549609089685573,0.1567720607149136,Stage 2,36,0.4004368071156075,0.4004368071156075,31389.110969587324
UKSME-102604,2021-07-27,Retail,London,13.3,2050116.0,25,0.0456,7.44,1.92,297135.0,24,0,0.0,726,0,0,0.941,257417.0,5.25,4.3,0.6,0.22519087717949068,0.2278228625826603,Stage 2,24,0.40374246844996287,0.40374246844996287,107258.1750997781
UKSME-102605,2021-04-16,Real Estate,South West,3.8,3579532.0,21,0.0984,3.12,4.57,22359.0,120,1,0.787,717,95,0,0.371,21770.0,5.25,4.3,0.6,0.4214633355662255,0.4263893137456049,Stage 3,60,0.9379007767764401,0.9379007767764401,7812.6953700047
UKSME-102606,2022-08-01,Professional Services,Wales,16.0,652993.0,4,0.1474,1.67,8.57,20179.0,84,1,1.035,661,0,0,0.05,15372.0,5.25,4.3,0.6,0.08148826438803462,0.08244068273235318,Stage 1,12,0.08244068273235317,0.08244068273235318,72.64672137968135
UKSME-102607,2021-03-18,Professional Services,East of England,27.8,591849.0,3,0.1511,4.48,3.19,35217.0,24,1,0.657,773,0,0,0.196,26562.0,5.25,4.3,0.6,0.1171860030830256,0.11855564937346778,Stage 1,12,0.11855564937346774,0.11855564937346778,707.6412752026854
UKSME-102608,2022-08-11,Transport,East of England,4.6,269457.0,1,0.1448,0.88,16.28,30727.0,60,0,0.0,688,0,0,0.629,26855.0,5.25,4.3,0.6,0.04882521738588349,0.04939587664648844,Stage 1,12,0.04939587664648848,0.04939587664648844,956.6224279038835
UKSME-102609,2023-05-27,Hospitality,East Midlands,3.0,1771882.0,14,0.0617,10.83,1.32,146585.0,120,1,0.727,546,5,0,0.337,144348.0,5.25,4.3,0.6,0.29027046781516463,0.293663090304271,Stage 2,60,0.8241835508287524,0.8241835508287524,43119.49353081162
UKSME-102610,2022-06-23,Construction,Scotland,13.3,7191964.0,45,0.1041,3.45,4.14,194288.0,84,0,0.0,696,0,0,0.5,173810.0,5.25,4.3,0.6,0.17634020117771448,0.17840122976512834,Stage 2,60,0.6256318419015879,0.6256318419015879,62335.81863025452
UKSME-102611,2022-07-20,Technology,South West,3.8,646542.0,5,0.1487,2.28,6.26,103232.0,72,0,0.0,674,0,0,0.622,81478.0,5.25,4.3,0.6,0.14210969227041767,0.14377064159655994,Stage 1,12,0.14377064159655994,0.14377064159655994,8353.625751324545
UKSME-102612,2021-08-18,Wholesale,South West,15.2,1181625.0,8,0.0321,10.6,1.35,204491.0,60,1,0.594,743,0,0,0.081,190087.0,5.25,4.3,0.6,0.18821324542153484,0.1904130437474582,Stage 2,60,0.6522096626444523,0.6522096626444523,11513.270894125828
UKSME-102613,2024-03-22,Retail,North West,7.4,447018.0,3,0.0218,25.24,0.57,45265.0,24,0,0.0,794,15,0,0.724,42262.0,5.25,4.3,0.6,0.2812429711716219,0.28453008210674985,Stage 2,24,0.4881027965898258,0.4881027965898258,17122.76778449346
UKSME-102614,2023-08-29,Technology,East of England,15.2,1732881.0,13,0.0521,9.17,1.56,8018.0,72,0,0.0,544,0,0,0.72,6785.0,5.25,4.3,0.6,0.24114746219074046,0.2439659449305698,Stage 2,60,0.7529944040999829,0.7529944040999829,4082.8328590599217
UKSME-102615,2022-04-08,Real Estate,Yorkshire,6.6,1600543.0,14,0.1148,5.65,2.53,69920.0,72,1,1.018,850,0,0,0.313,64616.0,5.25,4.3,0.6,0.14228539594463602,0.14394839885976743,Stage 1,12,0.1439483988597674,0.14394839885976743,3337.8383876221856
UKSME-102616,2021-11-06,Real Estate,London,12.6,369254.0,2,0.0477,1.72,8.33,36858.0,36,1,0.493,809,0,0,0.231,35466.0,5.25,4.3,0.6,0.07682285021784073,0.0777207401454246,Stage 1,12,0.07772074014542463,0.0777207401454246,730.0207027118271
UKSME-102617,2021-08-11,Transport,North West,3.2,568653.0,5,0.0306,10.72,1.33,239425.0,36,0,0.0,697,0,0,0.488,183309.0,5.25,4.3,0.6,0.2571060190441181,0.26011102216709897,Stage 2,36,0.5949583598539328,0.5949583598539328,61018.88121165102
UKSME-102618,2021-05-23,Wholesale,London,1.9,303846.0,2,0.1665,0.28,50.6,449384.0,84,0,0.0,779,0,0,0.708,370766.0,5.25,4.3,0.6,0.0007210648584484889,0.001,Stage 1,12,0.0010000000000000009,0.001,300.958919052
UKSME-102619,2024-02-02,Healthcare,London,5.9,4145552.0,49,0.023,11.25,1.27,201876.0,60,1,0.958,713,0,0,0.17,178828.0,5.25,4.3,0.6,0.18066334604579928,0.18277490267560592,Stage 2,60,0.635490813832417,0.635490813832417,22149.696357555258
UKSME-102620,2023-01-11,Retail,Yorkshire,6.0,371754.0,2,0.0694,3.74,3.82,122837.0,84,1,0.506,697,0,0,0.24,118888.0,5.25,4.3,0.6,0.17319679212705225,0.17522108118557775,Stage 2,60,0.6183302330844278,0.6183302330844278,20227.574233669053
UKSME-102621,2023-12-08,Real Estate,North East,3.8,159820.0,1,0.0756,8.62,1.66,32770.0,72,1,0.818,635,0,0,0.115,30880.0,5.25,4.3,0.6,0.2101618784554999,0.21261820796283024,Stage 2,60,0.6973596446511579,0.6973596446511579,2827.3638301156143
UKSME-102622,2024-04-29,Wholesale,Yorkshire,8.5,542052.0,4,0.1083,1.97,7.26,65540.0,48,1,0.525,642,15,0,0.258,55215.0,5.25,4.3,0.6,0.14358140107381728,0.1452595514346408,Stage 1,12,0.14525955143464087,0.1452595514346408,2372.441652464363
UKSME-102623,2023-11-18,Real Estate,North West,7.4,2069757.0,21,0.1598,2.52,5.66,29800.0,84,1,0.498,635,0,0,0.131,25308.0,5.25,4.3,0.6,0.13863560508368977,0.1402559499818049,Stage 1,12,0.1402559499818049,0.1402559499818049,533.1193852579075
UKSME-102624,2023-05-27,Transport,London,10.1,896215.0,12,0.0838,0.44,32.4,69439.0,24,0,0.0,682,0,0,0.95,54653.0,5.25,4.3,0.6,0.00664095125575092,0.006718569350174726,Stage 1,12,0.006718569350174675,0.006718569350174726,381.2992453190585
UKSME-102625,2022-07-22,Technology,South East,4.8,122983.0,1,0.08,0.13,9.84,9799.0,72,0,0.0,788,0,0,0.543,9052.0,5.25,4.3,0.6,0.0792439854051678,0.0801701730708837,Stage 1,12,0.0801701730708837,0.0801701730708837,451.78442530205905
UKSME-102626,2023-07-24,Wholesale,West Midlands,7.9,998800.0,6,0.0753,0.13,75.18,15598.0,120,1,0.581,702,0,0,0.271,12767.0,5.25,4.3,0.6,2.7418971949328117e-05,0.001,Stage 1,12,0.0010000000000000009,0.001,3.9667260505
UKSME-102627,2021-04-25,Professional Services,East Midlands,15.0,665317.0,4,0.0555,7.87,1.82,5000.0,36,0,0.0,672,0,0,0.642,3874.0,5.25,4.3,0.6,0.19951344737797508,0.2018453201776726,Stage 2,36,0.49153484852908835,0.49153484852908835,1401.5965412746123
UKSME-102628,2021-10-06,Hospitality,North West,13.8,1502111.0,12,0.1544,2.34,6.11,191737.0,36,0,0.0,780,0,0,0.609,182094.0,5.25,4.3,0.6,0.1353864514260573,0.1369688208737161,Stage 1,12,0.1369688208737161,0.1369688208737161,17414.40757909086
UKSME-102629,2021-06-06,Construction,West Midlands,2.6,1679189.0,15,0.1908,2.04,7.01,94275.0,60,0,0.0,667,0,0,0.696,72923.0,5.25,4.3,0.6,0.14327175315966595,0.14494628441832877,Stage 1,12,0.1449462844183288,0.14494628441832877,8434.413966068603
UKSME-102630,2021-06-23,Technology,Wales,17.6,451483.0,2,0.1532,3.18,4.5,372925.0,72,0,0.0,614,0,0,0.489,345128.0,5.25,4.3,0.6,0.17624174829196265,0.17830162618197065,Stage 2,60,0.6254048609623044,0.6254048609623044,121010.86501772441
UKSME-102631,2021-01-20,Hospitality,Yorkshire,2.4,3411160.0,43,0.1211,4.5,3.18,70379.0,36,1,0.683,641,0,0,0.171,54564.0,5.25,4.3,0.6,0.19894846319248563,0.20127373257135253,Stage 2,36,0.49044167485630175,0.49044167485630175,5246.428234851077
UKSME-102632,2022-04-27,Transport,London,4.8,960781.0,7,0.0723,4.6,3.11,88995.0,60,0,0.0,705,0,0,0.823,72636.0,5.25,4.3,0.6,0.2061249335425658,0.20853408005466417,Stage 2,60,0.6894288603711507,0.6894288603711507,47251.46453741226
UKSME-102633,2021-12-10,Retail,North West,18.0,670647.0,3,0.0649,8.33,1.71,44096.0,60,1,0.612,724,65,0,0.268,40144.0,5.25,4.3,0.6,0.3825399339796817,0.38701098331780154,Stage 2,60,0.913450718818785,0.913450718818785,10219.80371846722
UKSME-102634,2024-06-29,Professional Services,East Midlands,3.6,361780.0,2,0.1539,1.6,8.93,137707.0,36,1,0.534,632,5,0,0.346,123303.0,5.25,4.3,0.6,0.10285714181657026,0.10405931527609802,Stage 1,12,0.10405931527609802,0.10405931527609802,5089.847436532306
UKSME-102635,2021-10-27,Retail,Scotland,4.2,1568323.0,10,0.2426,0.79,17.99,38615.0,60,0,0.0,668,0,0,0.5,33758.0,5.25,4.3,0.6,0.042464454400646126,0.04296077035063454,Stage 1,12,0.0429607703506345,0.04296077035063454,831.3670972109951
UKSME-102636,2021-10-12,Hospitality,West Midlands,23.4,2133261.0,18,0.2084,2.17,6.58,15576.0,60,0,0.0,778,0,0,0.613,14701.0,5.25,4.3,0.6,0.11487828827128813,0.1162209624579966,Stage 1,12,0.11622096245799662,0.1162209624579966,1200.7867271396326
UKSME-102637,2022-05-20,Technology,North East,11.1,1822934.0,20,0.0409,8.06,1.77,43527.0,72,0,0.0,766,5,0,0.646,40798.0,5.25,4.3,0.6,0.20007064384235215,0.20240902904157182,Stage 2,60,0.6772240673032761,0.6772240673032761,20463.401927012022
UKSME-102638,2022-02-12,Manufacturing,East of England,2.1,2672541.0,31,0.1309,1.5,9.55,25399.0,48,0,0.0,547,0,0,0.9,25146.0,5.25,4.3,0.6,0.11811391822737864,0.11949440980225645,Stage 1,12,0.11949440980225645,0.11949440980225645,3013.3701272098706
UKSME-102639,2024-03-23,Manufacturing,East Midlands,6.9,739096.0,4,0.1008,2.11,6.77,125357.0,60,1,0.535,701,0,0,0.124,99007.0,5.25,4.3,0.6,0.11003342665276941,0.11131947507727992,Stage 1,12,0.1113194750772799,0.11131947507727992,1566.869385801278
UKSME-102640,2022-03-28,Healthcare,Scotland,8.9,608747.0,5,0.1087,5.55,2.57,67396.0,36,1,0.694,942,0,0,0.334,64536.0,5.25,4.3,0.6,0.11119286572758892,0.11249246544138349,Stage 1,12,0.11249246544138347,0.11249246544138349,2780.0077389959915
UKSME-102641,2023-07-04,Real Estate,London,11.4,1646482.0,11,0.1078,1.68,8.52,273679.0,60,1,0.483,599,0,0,0.243,218619.0,5.25,4.3,0.6,0.10891746160703843,0.11019046685791953,Stage 1,12,0.11019046685791956,0.11019046685791953,6711.386642314769
UKSME-102642,2021-12-03,Transport,South West,13.0,1154509.0,6,0.0868,3.95,3.62,79469.0,24,0,0.0,618,0,1,0.672,61265.0,5.25,4.3,0.6,0.20239551003436132,0.2047610677991766,Stage 3,24,0.36759504071209415,0.36759504071209415,17351.036108460175
UKSME-102643,2021-01-04,Transport,East of England,7.5,32791635.0,240,-0.014,637.53,-10.27,168294.0,60,1,0.663,649,0,0,0.332,126635.0,5.25,4.3,0.6,0.6812360137638804,0.6891981624388059,Stage 2,60,0.9970998671733206,0.9970998671733206,42439.55940404659
UKSME-102644,2024-05-30,Real Estate,London,7.7,567197.0,3,0.0306,17.38,0.82,42347.0,84,0,0.0,612,5,0,0.808,38542.0,5.25,4.3,0.6,0.28325080916559253,0.2865613873048908,Stage 2,60,0.815165493398302,0.815165493398302,27404.600001058254
UKSME-102645,2021-12-17,Hospitality,South West,10.9,1646931.0,14,0.0604,7.95,1.8,158148.0,60,0,0.0,721,0,1,0.656,149058.0,5.25,4.3,0.6,0.23148624863504305,0.2341918130658628,Stage 3,60,0.7366095498767122,0.7366095498767122,80581.96034349014
UKSME-102646,2022-07-09,Technology,London,14.7,8649424.0,89,0.1772,0.93,15.37,40133.0,72,1,0.681,632,95,0,0.102,31926.0,5.25,4.3,0.6,0.15577093556000376,0.15759155473324504,Stage 3,60,0.5757580988416795,0.5757580988416795,2149.6056542188503
UKSME-102647,2021-04-05,Manufacturing,Yorkshire,11.0,1008961.0,5,0.2398,1.95,7.32,41630.0,60,0,0.0,756,0,0,0.581,40025.0,5.25,4.3,0.6,0.10629998990227209,0.10754240267353571,Stage 1,12,0.10754240267353565,0.10754240267353571,2867.221649041212
UKSME-102648,2022-07-05,Wholesale,London,6.3,4434301.0,29,0.1541,1.74,8.19,65185.0,36,0,0.0,705,0,0,0.52,51468.0,5.25,4.3,0.6,0.11511039715431697,0.11645578418268106,Stage 1,12,0.1164557841826811,0.11645578418268106,3573.351669321337
UKSME-102649,2021-12-24,Transport,London,5.3,630797.0,6,0.0505,3.03,4.71,52927.0,72,0,0.0,732,0,0,0.595,42423.0,5.25,4.3,0.6,0.16799409617558556,0.16995757717664042,Stage 2,60,0.6059952596106103,0.6059952596106103,17537.25547768084
UKSME-102650,2024-06-02,Retail,South East,8.6,588613.0,3,0.1511,3.81,3.75,101289.0,48,0,0.0,659,0,0,0.785,84395.0,5.25,4.3,0.6,0.20331821752418225,0.2056945597074208,Stage 2,48,0.6019385245921882,0.6019385245921882,45720.66860616641
UKSME-102651,2023-06-25,Technology,London,7.2,4864443.0,52,0.146,0.93,15.3,183621.0,48,0,0.0,813,0,0,0.574,183606.0,5.25,4.3,0.6,0.04120109346719728,0.041682643510247454,Stage 1,12,0.04168264351024742,0.041682643510247454,5036.491146070796
UKSME-102652,2023-04-02,Manufacturing,London,10.7,12997192.0,141,0.0935,2.82,5.07,83288.0,84,0,0.0,680,0,0,0.887,74724.0,5.25,4.3,0.6,0.1530007316161491,0.15478897320626914,Stage 2,60,0.5686540034729606,0.5686540034729606,42220.1735503291
UKSME-102653,2023-04-26,Retail,South East,13.1,1271225.0,8,0.1567,2.89,4.94,462225.0,48,0,0.0,632,0,0,0.455,384137.0,5.25,4.3,0.6,0.19574539114910025,0.19803322367009316,Stage 2,48,0.5863571637930343,0.5863571637930343,117498.90830667157
UKSME-102654,2023-11-20,Hospitality,Yorkshire,12.9,842056.0,10,0.1303,3.54,4.04,162987.0,36,1,0.432,688,0,0,0.05,138769.0,5.25,4.3,0.6,0.16481324002657596,0.1667395438246347,Stage 2,36,0.4214481104314165,0.4214481104314165,3352.5914498499114
UKSME-102655,2021-01-12,Technology,London,25.5,3646880.0,23,0.1578,2.8,5.1,131345.0,36,0,0.0,796,0,0,0.512,122112.0,5.25,4.3,0.6,0.11409208081103296,0.1154255659640418,Stage 1,12,0.11542556596404174,0.1154255659640418,8273.787778131316
UKSME-102656,2023-05-17,Wholesale,Wales,10.0,1336255.0,16,0.1146,4.73,3.02,159345.0,60,1,0.639,866,5,0,0.075,126743.0,5.25,4.3,0.6,0.1479243337817047,0.14965324346118836,Stage 1,12,0.14965324346118836,0.14965324346118836,1630.9679953331702
UKSME-102657,2021-04-28,Technology,East of England,10.7,4457810.0,34,0.1232,3.59,3.98,210179.0,60,1,0.694,660,0,0,0.163,168359.0,5.25,4.3,0.6,0.1515706171819286,0.15334214388393738,Stage 2,60,0.564949459362853,0.564949459362853,17774.917691112318
UKSME-102658,2022-09-04,Manufacturing,South West,4.6,1290436.0,10,0.1751,4.32,3.31,36901.0,48,1,0.848,658,0,1,0.299,30285.0,5.25,4.3,0.6,0.16387524004008372,0.1657905806841127,Stage 3,48,0.515715736499089,0.515715736499089,5354.059694759899
UKSME-102659,2021-10-04,Manufacturing,East Midlands,21.0,3640848.0,29,0.1508,0.93,15.44,111731.0,48,1,0.854,527,0,0,0.148,99902.0,5.25,4.3,0.6,0.04447098897545594,0.04499075689551526,Stage 1,12,0.04499075689551524,0.04499075689551526,762.6640172365505
UKSME-102660,2021-10-29,Manufacturing,London,4.6,614344.0,6,0.1524,3.04,4.7,160792.0,36,0,0.0,797,0,0,0.447,132071.0,5.25,4.3,0.6,0.14423220957408625,0.14591796645296423,Stage 1,12,0.14591796645296418,0.14591796645296423,9876.380583337002
UKSME-102661,2022-12-14,Wholesale,London,10.4,1615112.0,17,0.1877,1.87,7.65,10893.0,72,1,0.546,668,5,0,0.223,9782.0,5.25,4.3,0.6,0.11333716262128933,0.1146618244432606,Stage 1,12,0.11466182444326056,0.1146618244432606,286.764527416222
